date	clade_membership					
2021-12-16	21M (Omicron)					
2021-12-09	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-11-23	21M (Omicron)					
2021-11-25	21M (Omicron)					
2021-11-24	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-27	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-17	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-22	21M (Omicron)					
2021-12-20	21M (Omicron)					
2021-12-16	21M (Omicron)					
2021-12-23	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-21	21M (Omicron)					
2021-12-23	21M (Omicron)					
2021-12-19	21M (Omicron)					
2020-03-07	20A					
2020-02-25	20A					
2020-02-26	20A					
2020-03-12	20A					
2020-03-25	20A					
2020-03-20	20A					
2020-06-24	20A					
2020-04-15	20A					
2020-07-01	20A					
2020-03-17	20A					
2020-07-15	20A					
2020-03-24	20A					
2020-03-26	20A					
2020-06-06	20A					
2020-05-13	20A					
2020-06-14	20A					
2020-05-20	20A					
2020-03-31	20A					
2020-10-22	20A					
2020-03-25	20A					
2020-12-09	20A					
2021-01-04	20A					
2020-04-15	20A					
2020-10-09	20A					
2020-12-04	20A					
2020-03-28	20A					
2020-10-08	20E (EU1)					
2020-08-08	20E (EU1)					
2020-09-14	20E (EU1)					
2020-10-14	20E (EU1)					
2020-08-15	20E (EU1)					
2021-02-15	20E (EU1)					
2020-12-11	20E (EU1)					
2021-02-08	20E (EU1)					
2020-11-03	20E (EU1)					
2021-01-15	20E (EU1)					
2020-12-01	20E (EU1)					
2021-01-08	20E (EU1)					
2020-08-03	20E (EU1)					
2020-08-08	20E (EU1)					
2020-10-02	20E (EU1)					
2021-03-16	20E (EU1)					
2020-11-18	20E (EU1)					
2020-11-24	20E (EU1)					
2021-02-08	20E (EU1)					
2020-07-20	20A					
2020-05-08	20A					
2020-06-29	20A					
2020-09-16	20A					
2020-05-07	20A					
2020-04-04	20A					
2020-06-22	20A					
2020-04-04	20A					
2020-04-24	20A					
2021-01-13	20A					
2020-12-05	20A					
2021-02-19	20A					
2020-12-24	20A					
2021-01-02	20A					
2020-11-06	20A					
2020-09-16	20A					
2020-07-20	20A					
2020-07-20	20A					
2020-07-20	20A					
2021-01-20	20A					
2020-07-20	20A					
2020-03-25	20A					
2020-05-16	20A					
2020-06-04	20A					
2020-06-04	20A					
2020-06-04	20A					
2020-06-04	20A					
2020-06-04	20A					
2020-03-15	20A					
2020-03-19	20A					
2020-08-11	20A					
2020-05-14	20A					
2020-07-01	20A					
2021-02-24	20A					
2020-10-25	20A					
2020-10-23	20A					
2020-11-15	20A					
2021-01-01	20A					
2020-12-31	20A					
2021-02-23	20A					
2020-12-31	20A					
2020-12-31	20A					
2020-03-18	20A					
2020-03-20	20A					
2020-03-25	20A					
2020-04-27	20A					
2020-05-06	20A					
2021-02-28	20A					
2020-04-03	20A					
2020-05-17	20A					
2021-03-15	20A					
2020-03-21	20A					
2020-04-05	20A					
2020-07-16	20A					
2020-08-19	20A					
2020-06-21	20A					
2020-12-26	20A					
2020-12-29	20A					
2021-02-26	20A					
2020-11-07	20A					
2020-08-03	20A					
2020-12-01	20A					
2021-01-31	20A					
2020-06-01	20A					
2020-11-18	20A					
2020-11-25	20A					
2020-11-30	20A					
2021-01-15	20A					
2020-11-16	20A					
2020-11-23	20A					
2020-08-01	20A					
2020-12-02	20A					
2020-03-24	20A					
2021-04-20	21D (Eta)					
2021-05-18	21D (Eta)					
2021-03-30	21D (Eta)					
2021-03-11	21D (Eta)					
2021-04-04	21D (Eta)					
2021-05-05	21D (Eta)					
2021-07-30	21D (Eta)					
2021-04-22	21B (Kappa)					
2021-09-10	20A					
2021-09-03	20A					
2021-07-31	20A					
2021-09-27	20A					
2021-09-10	20A					
2021-09-10	21A (Delta)					
2021-06-07	21A (Delta)					
2021-09-06	21A (Delta)					
2021-10-05	21A (Delta)					
2021-10-05	21A (Delta)					
2021-09-10	21A (Delta)					
2021-09-15	21A (Delta)					
2021-09-25	21A (Delta)					
2021-09-25	21A (Delta)					
2021-09-10	21A (Delta)					
2021-05-10	21A (Delta)					
2021-09-25	21A (Delta)					
2021-09-25	21A (Delta)					
2021-08-02	21A (Delta)					
2021-09-22	21A (Delta)					
2021-09-22	21A (Delta)					
2021-01-04	21A (Delta)					
2021-02-03	21A (Delta)					
2021-07-08	21A (Delta)					
2021-04-07	21A (Delta)					
2021-09-15	21A (Delta)					
2021-09-19	21A (Delta)					
2021-07-26	21A (Delta)					
2021-08-14	21A (Delta)					
2021-07-13	21A (Delta)					
2021-09-09	21A (Delta)					
2021-09-04	21A (Delta)					
2021-09-24	21A (Delta)					
2021-06-24	21A (Delta)					
2021-09-26	21A (Delta)					
2021-09-25	21A (Delta)					
2021-09-06	21A (Delta)					
2021-05-30	21A (Delta)					
2021-06-02	21A (Delta)					
2021-05-30	21A (Delta)					
2021-09-06	21A (Delta)					
2021-09-18	21A (Delta)					
2021-09-25	21A (Delta)					
2021-08-02	21A (Delta)					
2021-11-02	21A (Delta)					
